false_positive_cost,false_negative_cost,threshold,validation_cost,false_positives,false_negatives
5,50,0.01,28965,5793,0
5,50,0.02,11105,1681,54
5,50,0.03,8715,933,81
5,50,0.05,7295,519,94
5,50,0.1,6870,254,112
5,50,0.15,7285,167,129
5,50,0.2,7430,116,137
5,50,0.3,8165,63,157
5,50,0.5,9240,8,184
5,100,0.01,28965,5793,0
5,100,0.02,13805,1681,54
5,100,0.03,12765,933,81
5,100,0.05,11995,519,94
5,100,0.1,12470,254,112
5,100,0.15,13735,167,129
5,100,0.2,14280,116,137
5,100,0.3,16015,63,157
5,100,0.5,18440,8,184
5,200,0.01,28965,5793,0
5,200,0.02,19205,1681,54
5,200,0.03,20865,933,81
5,200,0.05,21395,519,94
5,200,0.1,23670,254,112
5,200,0.15,26635,167,129
5,200,0.2,27980,116,137
5,200,0.3,31715,63,157
5,200,0.5,36840,8,184
