customer_age,account_age_days,transaction_amount,velocity_1h,velocity_24h,distance_from_home_km,failed_attempts,device_age_days,merchant_risk,night,international,new_device,actual_fraud,fraud_probability,prediction_050,prediction_cost_threshold,is_fraud,prediction,predicted_probability
30.9,1219.0,21.24,0,4,2.72,0,285.0,0.1963,0,0,0,1,0.0144549283034849,0,0,1,0,0.0144549283034849
18.8,1832.0,86.29,1,3,29.48,1,214.0,0.2262,0,0,0,1,0.0333357193636318,0,0,1,0,0.0333357193636318
39.8,736.0,159.46,2,3,13.27,0,221.0,0.1224,0,0,0,1,0.0154680819051467,0,0,1,0,0.0154680819051467
28.6,532.0,287.37,1,5,41.61,0,193.0,0.1308,0,0,0,1,0.0162945997592244,0,0,1,0,0.0162945997592244
41.2,589.0,88.41,4,7,3.35,0,313.0,0.0895,0,0,0,1,0.0259950984099113,0,0,1,0,0.0259950984099113
53.8,668.0,332.13,1,6,19.81,0,231.0,0.3641,0,0,1,1,0.0370704431955002,0,0,1,0,0.0370704431955002
24.3,1146.0,34.71,1,6,19.49,0,262.0,0.5329,0,0,0,1,0.0170109700798982,0,0,1,0,0.0170109700798982
53.0,1970.0,311.54,0,2,34.43,2,163.0,0.264,0,0,0,1,0.0137460820700744,0,0,1,0,0.0137460820700744
44.5,303.0,138.02,2,8,18.39,0,427.0,0.2139,1,0,0,1,0.0199567758050925,0,0,1,0,0.0199567758050925
43.4,945.0,8.56,5,10,1.27,0,297.0,0.37,0,0,0,1,0.0157239199264247,0,0,1,0,0.0157239199264247
41.6,1649.0,88.84,0,1,26.78,0,263.0,0.2234,0,0,0,1,0.0324772500169741,0,0,1,0,0.0324772500169741
30.4,375.0,21.87,2,5,10.09,1,397.0,0.1068,0,0,0,1,0.0224323955511273,0,0,1,0,0.0224323955511273
44.8,425.0,34.88,1,8,2.17,0,136.0,0.5162,0,0,1,1,0.0151727912250992,0,0,1,0,0.0151727912250992
33.2,624.0,12.18,2,3,3.49,0,180.0,0.159,0,0,0,1,0.0139079117294408,0,0,1,0,0.0139079117294408
41.4,917.0,12.09,1,1,28.12,0,279.0,0.0489,1,0,1,1,0.0144075602116906,0,0,1,0,0.0144075602116906
25.8,431.0,13.02,2,5,0.77,2,186.0,0.0501,0,0,0,1,0.0149998039801777,0,0,1,0,0.0149998039801777
36.2,387.0,36.48,2,6,1.82,0,816.0,0.2342,0,0,0,1,0.0179473918504867,0,0,1,0,0.0179473918504867
45.3,432.0,60.29,2,4,5.21,0,331.0,0.323,1,0,0,1,0.0235616982446647,0,0,1,0,0.0235616982446647
36.3,398.0,49.43,3,8,9.33,0,662.0,0.1726,0,0,0,1,0.0172851990036012,0,0,1,0,0.0172851990036012
37.7,502.0,75.28,2,3,0.23,2,257.0,0.1472,0,0,0,1,0.0263409740343086,0,0,1,0,0.0263409740343086
31.3,786.0,25.45,2,9,7.53,0,459.0,0.1295,0,1,0,1,0.0271207849276823,0,0,1,0,0.0271207849276823
27.3,472.0,31.88,2,6,16.58,0,319.0,0.0587,0,0,0,1,0.0148427104354872,0,0,1,0,0.0148427104354872
31.5,1000.0,135.0,2,8,24.39,0,1096.0,0.2682,1,0,0,1,0.0214748854838366,0,0,1,0,0.0214748854838366
29.3,1127.0,197.95,2,3,36.09,1,208.0,0.1366,0,0,0,1,0.0200366356893038,0,0,1,0,0.0200366356893038
28.8,585.0,21.22,4,11,17.65,0,473.0,0.2015,1,0,0,1,0.0297543256014063,0,0,1,0,0.0297543256014063
26.9,801.0,70.14,4,4,2.59,1,821.0,0.1659,1,0,0,1,0.0465035517015099,0,0,1,0,0.0465035517015099
35.8,1122.0,36.49,2,6,35.27,1,454.0,0.0683,0,1,0,1,0.0315394087733385,0,0,1,0,0.0315394087733385
36.6,467.0,85.81,1,6,40.18,1,79.0,0.1223,0,0,1,1,0.0363736007486604,0,0,1,0,0.0363736007486604
44.2,592.0,36.61,2,8,5.82,0,472.0,0.3777,0,0,1,1,0.0248422714132385,0,0,1,0,0.0248422714132385
41.4,721.0,65.32,3,6,49.01,0,434.0,0.1191,1,1,0,1,0.0382444757075384,0,0,1,0,0.0382444757075384
