customer_age,account_age_days,transaction_amount,velocity_1h,velocity_24h,distance_from_home_km,failed_attempts,device_age_days,merchant_risk,night,international,new_device,actual_fraud,fraud_probability,prediction_050,prediction_cost_threshold,is_fraud,prediction,predicted_probability
36.5,840.0,217.57,3,5,24.3,0,380.0,0.1697,0,1,1,0,0.0729281165290946,0,1,0,1,0.0729281165290946
18.0,877.0,30.39,2,9,52.22,0,414.0,0.3504,0,1,0,0,0.0713940646222136,0,1,0,1,0.0713940646222136
18.1,619.0,39.74,3,10,23.64,0,325.0,0.2614,1,0,0,0,0.1402478141475352,0,1,0,1,0.1402478141475352
18.0,740.0,51.54,2,7,5.19,1,265.0,0.1151,0,0,0,0,0.0979536641861959,0,1,0,1,0.0979536641861959
47.4,969.0,245.67,2,5,24.44,1,370.0,0.2045,0,0,0,0,0.056900810327505,0,1,0,1,0.056900810327505
27.3,552.0,45.06,2,6,15.79,1,284.0,0.3374,0,0,0,0,0.0764266656466402,0,1,0,1,0.0764266656466402
36.3,259.0,246.44,3,7,20.86,1,454.0,0.3727,0,0,0,0,0.399265249671209,0,1,0,1,0.399265249671209
42.6,1000.0,75.17,6,8,18.82,0,329.0,0.0824,0,0,0,0,0.2514041265319176,0,1,0,1,0.2514041265319176
32.7,1270.0,95.37,5,5,44.63,1,267.0,0.1471,0,0,1,0,0.4395625650168167,0,1,0,1,0.4395625650168167
45.9,1535.0,181.31,2,6,10.13,2,571.0,0.108,0,0,0,0,0.1973102862729969,0,1,0,1,0.1973102862729969
41.9,479.0,22.76,3,6,3.16,2,633.0,0.1218,0,0,0,0,0.3469155728179446,0,1,0,1,0.3469155728179446
38.0,456.0,18.51,2,5,21.12,1,241.0,0.2197,0,0,1,0,0.0674246008786649,0,1,0,1,0.0674246008786649
36.0,774.0,63.96,3,6,24.53,1,114.0,0.4243,0,0,0,0,0.4886056067804112,0,1,0,1,0.4886056067804112
50.9,997.0,38.77,2,5,56.56,1,226.0,0.549,0,0,0,0,0.0865581288520026,0,1,0,1,0.0865581288520026
53.1,664.0,37.68,4,9,18.79,1,362.0,0.0643,0,0,0,0,0.4445505474794661,0,1,0,1,0.4445505474794661
46.8,803.0,451.33,1,5,25.91,0,345.0,0.1243,0,0,0,0,0.0504425246772666,0,1,0,1,0.0504425246772666
32.7,704.0,367.59,4,8,25.26,0,519.0,0.3995,0,0,1,0,0.3953077136077793,0,1,0,1,0.3953077136077793
43.8,564.0,27.88,3,5,2.21,2,586.0,0.1297,0,0,1,0,0.3937011914571278,0,1,0,1,0.3937011914571278
42.5,637.0,42.13,4,10,18.9,1,140.0,0.3133,0,0,0,0,0.4580930881380818,0,1,0,1,0.4580930881380818
47.3,755.0,350.61,1,3,3.43,0,329.0,0.3618,0,0,0,0,0.0635763514543654,0,1,0,1,0.0635763514543654
23.4,943.0,45.99,0,6,39.25,0,292.0,0.4056,0,1,0,0,0.0776683088718141,0,1,0,1,0.0776683088718141
37.5,1297.0,71.18,3,7,36.59,1,913.0,0.1987,1,0,0,0,0.0817543622905021,0,1,0,1,0.0817543622905021
29.7,445.0,98.54,1,5,12.25,1,480.0,0.2847,1,0,0,0,0.0929482177590601,0,1,0,1,0.0929482177590601
18.0,630.0,99.96,2,6,38.62,0,198.0,0.2648,0,0,0,0,0.0676923529774096,0,1,0,1,0.0676923529774096
56.8,423.0,136.56,5,10,30.9,0,251.0,0.2095,0,0,0,0,0.0604134479094182,0,1,0,1,0.0604134479094182
