segment,samples,fraud_rate,pr_auc,roc_auc,precision,recall
all_test,6000,0.034333333333333334,0.27812458867481776,0.8188325050018265,0.1735668789808917,0.529126213592233
domestic,5255,0.030256898192197908,0.2778625707327406,0.8125647936968692,0.17197452229299362,0.5094339622641509
international,745,0.06308724832214765,0.2817407509700408,0.8105224654026704,0.17834394904458598,0.5957446808510638
existing_device,5090,0.02711198428290766,0.2546137673561817,0.7932543724099177,0.13636363636363635,0.45652173913043476
new_device,910,0.07472527472527472,0.3636311358948037,0.8490463881514602,0.27710843373493976,0.6764705882352942
low_amount_<100,4918,0.029076860512403414,0.24619735758974814,0.8149657672170761,0.17037037037037037,0.4825174825174825
high_amount_>=100,1082,0.05822550831792976,0.3627664434653081,0.8027166378491207,0.17937219730941703,0.6349206349206349
low_velocity_<5,2922,0.017111567419575632,0.14706063373649808,0.7558217270194986,0.13829787234042554,0.26
high_velocity_>=5,3078,0.050682261208576995,0.32479672067152093,0.8140345565910247,0.1797752808988764,0.6153846153846154
low_merchant_risk_<0.25,4222,0.0310279488394126,0.3181182349773409,0.838410885186436,0.19943019943019943,0.5343511450381679
high_merchant_risk_>=0.25,1778,0.0421822272215973,0.23311891394774437,0.7645410060677236,0.1407942238267148,0.52
